mt,ref,score
"On the 26th local time, the Nantes prosecutor announced that a parish volunteer in charge of security in the cathedral had been charged with "" arson and destruction. ""","On the 26th (local time), a Nantes prosecutor announced that a parish volunteer in charge of security work in the cathedral had been charged with “arson and destruction”.",-0.1
He has admitted that he was lighting the fire in the church.,The parish volunteer has admitted that he had started the fire in the church.,0
"According to the report, local prosecutor Senas said that the 39-year-old parish volunteer from Rwanda admitted that he set fire to three places in the cathedral at night.","According to reports, Sernas,a local prosecutor, said that the 39-year-old parish volunteer from Rwanda admitted that he had set fire to three places in the cathedral at night.",0
The person's lawyer said that the arsonist now regrets doing such a thing.,The lawyer of the parish volunteer said that the arsonist now regretted doing such a thing.,0
"This person entered France through asylum a few years ago, was sheltered in the parish where the fire occurred, and was taken in in the church.","This parish volunteer entered France through asylum several years ago, and was sheltered in the parish where the fire happened, and was taken in in the church.",0
"The prosecution pointed out that recently, he tried to renew his visa and was in dialogue with the police station.","The prosecutor pointed out that recently, the prosecutor tried to renew his visa and was talking with the police station about it.",0
"However, the church said it still couldn't believe that this usually very kind, smiling, but not very talkative believer would destroy the church he loved so much.","However, the church said that it still couldn't believe that this kind-hearted, smiling but quiet believer would destroy the church that he loved so much.",0
"On the day the fire broke out on July 18, the volunteer had already been questioned and investigated by the police because of illogical problems in the narrative, but he was later released.","On the day of the fire on July 18, this volunteer had been questioned and investigated by the police because of the illogical problems in his narrative, but he was released later.",0
The picture shows firefighters carrying out rescue at the scene.,The picture shows firefighters carrying out rescue at the scene.,0
"On the evening of the 25th, because professional engineers from the laboratory of the Paris Central Police Department obtained new evidence, this person was summoned again.","On the evening of 25th, the professional engineers of the laboratory of Paris Central Police Department obtained new evidence, so this person was arraigned again.",-1
"This time, the man admitted to his arson.","This time, this man admitted his arson.",0
"According to reports, if convicted of intentional arson and destruction, the suspect could face 10 years in prison and a fine of 150,000 euros.","According to reports, If the crime of intentional arson is convicted, the suspect may face a 10-year imprisonment and a fine of 150,000 euros.",-2.1
"According to the report, the fire caused serious losses to St. Pierre and St. Paul's Cathedral. The pipe organ in the church was completely burned and the stained glass window behind the pipe organ was also seriously damaged.","According to reports, the fire caused serious losses to the Cathedral Church of St.Pierre and St.Paul, and the organ in the church was completely burned, and the stained glass windows behind the organ were also seriously damaged.",-5
"Brunet, the chief architect of French historic buildings, believes that it is conservatively estimated that the restoration of Nantes Cathedral will take at least three years.","Brunet, chief architect of French historic buildings, believed that it was conservatively estimated that the restoration of the Nantes Cathedral would take at least three years.",-6
"Hurricane "" Hannah "" makes landfall in the United States or causes river surges and flash floods-chinanews.com","Hurricane Hanna landed in Texas, USA, which may cause river surges and flash floods - www.chinanews.com",-6.1
"BEIJING, July 26 (Xinhua) According to comprehensive foreign media reports, Hurricane "" Hannah "" landed in Texas at 5: 00 p.m. local time on the 25th, which will bring strong winds and heavy rains to Texas, soaring rivers, and may also cause life-threatening flash floods.","Www.chinanews.com, July 26 - According to foreign media reports, at 5 pm local time on the 25th, Hurricane Hanna landed in Texas, USA, which will bring strong storms, soaring rivers and life-threatening flash floods to Texas.",-0.2
"The National Hurricane Center said Hurricane Hannah is expected to carry heavy rain across parts of southern and northeastern Texas, which may cause some streams to surge and life-threatening flash floods.","According to the National Hurricane Center, Hurricane Hanna is expected to carry heavy rain and sweep across parts of southern and northeastern Texas, and the rain may cause some streams to surge and life-threatening flash floods.",0
"According to the report, the area south of Corpus Christi to the mouth of the Rio Grande River is the most seriously affected by Hurricane Hannah, and a large-scale flash flood may break out in the Rio Grande Valley.","According to the report, the area south of Corpus Christi to the mouth of the Rio Grande River was the most seriously affected by Hurricane Hanna, and a large-scale flash flood may erupt in the Rio Grande Valley.",-1
"Texas Governor Abbott said on the 25th: "" Any hurricane is a huge challenge. ""","Abbott, Governor of Texas, said on the 25th: ""Any hurricane is a huge challenge. ”",-0.2
Thirty-two counties in the state entered a disaster emergency due to the hurricane.,"In Texas, there are 32 counties in a state of disaster emergency due to hurricane.",0
"Corpus Christi, a city with a population of over 320,000, has closed libraries and museums, and residents are waiting.","Corpus Christi, a city with a population of over 320,000, has closed its libraries and museums, and its residents are treating the hurricane in a strict manner.",-5.1
"Abbott also said that at a time when Texas is being hit hard by the COVID-19 epidemic, the hurricane can no longer bring more casualties to Texas.","Abbott also said that while Texas was being hit hard by the COVID-19 epidemic, we could not let this hurricane bring more casualties to Texas.",-10
"According to reports, precipitation in southern Texas is expected to reach 6 to 12 inches on the night of the 26th, and 3 to 5 inches of rainfall will also occur in northern Texas and coastal areas of Louisiana.","According to reports, the precipitation in southern Texas is expected to reach 6 to 12 inches at night on the 26th, and there will be 3 to 5 inches of rainfall in northern Texas and coastal areas of Louisiana.",0
"Due to global warming and other factors, "" Hannah "" formed earlier than the previous Atlantic hurricane season.","Due to global warming and other factors, Hanna was formed earlier than the previous Atlantic hurricane season.",0
"Under normal circumstances, the first hurricane in the Atlantic Ocean usually does not form until mid-August.","Under normal circumstances, the first hurricane in the Atlantic usually does not form until mid-August.",0
Poland to withdraw from European treaty to prevent violence against women,Poland to Withdraw from European Treaty on Prevention of Violence against Women,-5
"Poland will take steps next week to withdraw from the European Treaty on the Prevention of Violence against Women, the Polish Ministry of Justice said Saturday.",The Polish Ministry of Justice said on Saturday that Poland would take steps next week to withdraw from the European Treaty on the Prevention of Violence against Women.,0
"Poland's right-wing government cabinet said the treaty required schools to teach students about gender issues, trampling on the rights of students' parents.",The cabinet of the Polish right-wing government stated that the treaty requiring schools to teach students on gender issues has violated the rights of students’ parents.,-5
Polish Justice Minister Giobro held a press conference and said that his Ministry of Justice will submit a request to the Ministry of Labor and Family to begin withdrawing from the treaty on Monday.,"Polish Minister of Justice Giobro held a press conference, saying that the Ministry he led would raise the request on Monday asking the Ministry of Labor and Family to start withdrawing from the treaty.",-10
That treaty is also known as the Istanbul Convention.,That treaty is also known as the Istanbul Convention.,0
"Giobro said, "" The treaty contains some elements that we consider to be harmful. ""","Giobro said, “The treaty contains some elements we consider harmful in ideological nature. ”",-10
Poland's ruling Law and Justice Party and its ruling coalition partners have a close alliance with the Roman Catholic Church and promote a conservative social agenda.,Poland’s ruling Law and Justice Party and its ruling coalition partners holds a close alliance with the Roman Catholic Church and promote a conservative social agenda.,-5
Polish President Duda made hostility to gay rights one of the main issues during his successful re-election campaign this month.,Polish President Duda made hostility to gay rights one of the main topics for discussion during his successful re-election campaign this month.,-5
"On Friday, thousands of Poles, most of them women, protested against withdrawal from the Convention in Warsaw and other cities.","On Friday, thousands of Poles (most of them women) held protests against withdrawal from the treaty in Warsaw and other cities.",-5
"Lempat, one of the organizers of the protest, said in a protest march in Warsaw that "" the purpose of withdrawing from the treaty is to legalize domestic violence. ""","Lempat, one of the organizers of the protests, said in a protest march in Warsaw that “the purpose of withdrawing from the treaty is to legalize domestic violence.”",0
"Some protesters held up banners that read "" Law and Justice Party is a hell for women. """,Some protesters held up a banner that reads “Law and Justice Party is a hell for women.”,-1
The Law and Justice Party has long complained about the Istanbul Convention.,The Law and Justice Party has long been complaining about the Istanbul Convention,0
Poland's previous centrist government ratified the convention in 2015.,The previous centrist government in Poland ratified the convention in 2015.,0
The Law and Justice Party government said the treaty did not respect religion and required liberal social policies to be taught in schools.,The Law and Justice Party government stated that the treaty does not respect religion and requires liberal social policies to be taught at schools.,0
"However, up to now, the party has not decided to withdraw from the convention.",But so far the party has not decided to withdraw from the treaty.,0
(According to Reuters),(According to a report from Reuters),0
"According to the Vietnam News Agency, Grivory believes that Vietnam has made great contributions to the development of ASEAN over the past 25 years.","According to the report by Vietnam News Agency, Grigory believes that Vietnam has made great contributions to the development of the ASEAN over the past 25 years.",-5
"Vietnam is not only a responsible member of ASEAN, but also the locomotive of ASEAN.","Vietnam is not only a responsible member, but even the locomotive of the ASEAN.",0
Grivory said that Russia and even the Asia-Europe Economic Union believe that Vietnam has contributed to ASEAN to improve its status and promote its image abroad.,Grigory said that Russia and even the Eurasian Economic Union believe that Vietnam has made contributions to improving the status and promoting the image of the ASEAN externally.,-10
"He stressed, "" ASEAN should therefore thank Vietnam. ""","He stressed that ""the ASEAN should be grateful to Vietnam for this. ”",0
Grivory said that analysts recognize the peace initiative put forward by Vietnam.,Grigory said that analysts endorse the peace initiative proposed by Vietnam.,-5
"Vietnam is willing to share its experience with ASEAN countries and propose constructive peace measures on the problems facing the Asia-Pacific region, including the East China Sea issue.","Vietnam is willing to share its experience with each member country of the ASEAN and propose constructive and peaceful measures on the issues faced by the Asia-Pacific region, including the East Sea issue.",0
"Regarding the cooperation between Vietnam and Russia under the ASEAN framework, Grivory believes that Vietnam provides support for the cooperative relationship between Russia and ASEAN and helps Russia gain benefits under this cooperation framework.","With regard to the cooperation between Vietnam and Russia under the framework of the ASEAN, Grigory believes that Vietnam provides support to the cooperative relations between Russia and the ASEAN, and helps Russia to gain benefits under the cooperation framework.",-5
"The Asia-Europe Economic Union, including Russia, and Vietnam can enter the ASEAN market after signing a free trade agreement.","The Eurasian Economic Union, including Russia, can enter the ASEAN market after signing a Free Trade Agreement with Vietnam.",0
"Grivory proposed to maximize the free trade area between the Asia-Europe Economic Union and ASEAN countries, thereby creating a platform for economy, security and stability.","Grigory suggested maximizing the free trade zones between the Eurasian Economic Union and ASEAN countries, thereby creating a platform for economy, security and stability.",-5
"Greivoli also believes that Russia, Vietnam and ASEAN are on the right track and will achieve their goals.","Grigory also believes that Russia, Vietnam and the ASEAN are on the right track and will achieve their goals.",-5
"From now until the end of 2020, Bac Giang Province will have the necessary conditions, especially in infrastructure, human resources and land, in order to proactively welcome foreign capital inflows, especially multinational groups that have value chains and transfer advanced technologies.","From now to the end of 2020, Bac Giang Province will have the necessary conditions, especially in terms of infrastructures, human resources and land, to proactively usher in the inflow of foreign capital, especially multinational groups which have value chains and transfer advanced technologies.",-20
"In addition, Bac Giang Province will complete the submission of the Prime Minister's decision to invest in infrastructure construction and operation projects in the Vietnam-Korea Industrial Zone and approve the addition of the two industrial-city-service areas of Anshan-Beilong and Anlu in the province to the master plan for the development of Vietnam's industrial zone by 2020.","In addition, Bac Giang Province will submit the decision of the Prime Minister of the Government to propose the investments in infrastructures construction and business projects in the Vietnam-Korea Industrial Zone, and approve the supplementary listing of An Son-Beilong and An Luc industry-city-service areas of this province in the document of the 2020 Overall Planning for the Development of Vietnam Industry Zone.",-15
"At the same time, Beijiang Province has made great efforts to speed up the progress of various projects, especially the infrastructure construction and operation projects in the industrial park clusters of Hefu, Gwangju, Sungai-Neihuang, etc., to form a land fund for attracting investment.","Meanwhile, Bac Giang Province focuses on accelerating the progress of various projects, especially the infrastructure construction and operation projects in industrial park cluster such as Hoa Phu, Gwangju, and Sungei-Naewang, to form land funds for investment promotion.",-20
"In 2020, the Beijiang Provincial Bureau of Industry and Trade will participate in the planning of industrial zones and industrial clusters to be incorporated into the provincial planning.","In 2020, Bac Giang Provincial Department of Industry and Trade puts forward suggestions on the planning for determining industrial zones and industrial cluster to be included in the provincial planning.",-15
"Bac Giang Province has decided to combine the development of industrial park clusters with ensuring national defense security, protecting the ecological environment, and ensuring food security, thus promoting the balanced development of industry; it has comprehensive infrastructure such as electricity, water supply, transportation and telecommunications, and is combined with urban construction, trade services, workers' housing and other social infrastructure such as health care, education, etc.","Bac Giang Province has determined to combine the development of industrial park cluster with guaranteeing national defense security, protecting ecological environment, and guaranteeing food security, thus contributing to balanced industrial development; having comprehensive infrastructures such as electricity, water supply, transportation and telecommunication, and combining them with urban construction, trade services, workers' housing and medical health, education and other social infrastructures.",-10
"In the industrial zone, Bac Giang Province has made great efforts to call for high-tech and clean technology investment projects in the fields of electric power, electronics, telecommunications equipment, precision machinery, auxiliary industries, etc.","In the industrial zone, Bac Giang Province focuses on calling for investment projects of high technology and clean technology in the fields of electricity, electronics, telecommunication equipment, precision machinery, and auxiliary industries.",-10
"In the industrial park cluster, the province calls for small and medium-sized investment projects in the production and utilization of local labor, especially in the fields of agricultural products and food processing.","In the industrial park cluster, the province calls for small and medium-sized investment projects in the fields of production, use of local labor force, especially agricultural products, food processing, etc.",-5
"In the future, Beijiang Province will focus on accelerating the investment in the infrastructure of the logistics center of Beijiang City and develop simultaneously with the industrial park clusters to optimize the circulation of goods and money and help reduce production costs, increase the value of goods, optimize the supply chain and develop multimodal transport, thus creating attraction for investors to invest in the province.","In the future, Bac Giang Province will focus on accelerating the investment in the infrastructures of the logistics centers in Bac Giang City to achieve synchronous development of the industrial park cluster, in order to optimize the circulation of goods and money, help reduce production costs, increase the value of goods, optimize the supply chain, and develop multimodal transportation, thus creating an attraction for investors to make investments in this province.",-17
"(Deutsche Welle Chinese website) In the past two weeks, the number of confirmed COVID-19 cases in Spain has risen sharply, with thousands of new cases in many days.","(Deutsche Welle Chinese) In the past two weeks, Spain saw a sharp rebound in the number of confirmed cases of COVID-19, which increased by more than 1,000 daily for many days.",-5
"The British government made an interim decision on Saturday night (July 25) to remove Spain from the safe travel list from 0: 00 local time on the 26th, and people entering the UK from Spain must be quarantined for 14 days.","The British Government made a temporary decision on the evening of Saturday (July 25) to remove Spain from the safe travel list since 00:00 on the 26th day local time, and required that people entering the UK from Spain must be quarantined for 14 days.",-10
"British tourists who were on holiday in Spain expressed surprise, worry and even anger when they heard of the decision, because the news came suddenly and caught people off guard.","British tourists going vacationing in Spain successively expressed their surprise, concern and even anger at the decision, since the news came out of the blue and caught them off guard.",-10
"According to reports, British Transport Secretary Grant Shapps (Grant Shapps) is also on holiday in Spain.","As report goes, British Minister of Transport Grant Shapps is also on vacation in Spain at present.",-10
"Before the UK issued the quarantine measures, Norway had also announced that people returning to Norway from Spain would be quarantined for 10 days.","Before the UK issued the quarantine measures, Norway had also announced a 10-day quarantine for people returning to Norway from Spain.",0
France and Belgium advised their residents to abandon their plans for vacations in Barcelona and surrounding areas ahead.,France and Belgium advised their residents to abandon the plan to vacation in Barcelona and the surrounding area ahead.,-10
The beaches in these areas are overcrowded and it is impossible to maintain social distance between people. The police once needed to take measures to reduce the number of beach tourists.,"The beaches in these areas were so overcrowded that it was impossible to maintain a social distance between people, and once, the police had to take actions to reduce the number of beachgoers.",-10
Tourism is an important pillar industry in Spain,Tourism is an important pillar industry of Spain.,0
Spain: It's safe here,Spain: It is safe here.,0
"In response to the British decision, the Spanish Foreign Ministry said on Sunday that the epidemic in the country was under control.","Aiming at the decision made by the UK, the Spanish Ministry of Foreign Affairs said on Sunday that the pandemic was under control in this country.",-10
"Spanish Foreign Minister Arancha Gonzalez Laya stressed to the media: "" Spain is safe, not only for Spaniards, but also for tourists. ""","Spanish Foreign Minister Arancha Gonzalez Laya stressed to the media that ""Spain is safe, not only for Spaniards, but also for tourists. ”",-5.1
The Spanish government will try to persuade the British government to exclude the Balearic Islands and Canary Islands from the quarantine measures.,The Spanish Government will try to convince the British Government to exclude the Balearic Islands and the Canary Islands from the quarantine measures.,-5
The reason is that the infection rate in these two tourist resorts is much lower than that in the UK.,The reason is that the infection rates in these two tourist destinations are much lower than in the British Mainland.,-5
"In order to prevent the spread of the epidemic, Catalonia, Spain, has also restarted the "" foot ban. ""","To prevent the spread of the pandemic, the Catalonia region of Spain has also restarted the ""stay at home order"".",-5
"Tourism is an important pillar industry in Spain, and Spain is one of the most popular resorts for British tourists.","Tourism is an important pillar industry of Spain, and Spain is one of the most popular vacation destinations for British tourists.",-5
The British decision is expected to greatly affect Spain's tourism industry.,This decision by the UK is expected to have a significant impact on tourism in Spain.,0
"Quiet / Ren Chen (German News Agency, Reuters)","An Jing/ Ren Chen (DPA, Reuters)",-10
The first day of mid-volt: Beijing bids farewell to the high temperature and heat and starts the rainfall mode-Xinhuanet,The first day of the second phase of dog days: Beijing temporarily parts from hot summer and starts the rainfall mode – www.xinhuanet.com,-7.1
"Xinhua News Agency, Beijing, July 26 (Reporter Ni Yuanjin) July 26 is the first day of this year's "" Zhongfu. ""","Xinhua News Agency, Beijing, July 26 (reporter Ni Yuanjin) – July 26 is the first day of “The second phase of dog days” this year.",-1.1
The convective weather with strong winds and showers in the early morning of the 26th dispersed the high temperature and heat that had been shrouded in Beijing for several days. A new round of rainfall will last for several days.,"The strong wind, heavy shower and convective weather on the early morning of the 26th dispersed the hot and scorching heat that had enveloped Beijing for days, and a new round of rainy weather will continue for several days.",-4
"The Beijing Meteorological Observatory announced at 11: 00 on the 26th that there were scattered showers (accompanied by weak lightning) in Beijing on the 26th, and the daily maximum temperature was only 27 ℃; the night was overcast with light to moderate rain (accompanied by weak lightning), and the minimum temperature at night was 23 ℃.","The Beijing Meteorological Station released at 11:00 on the 26th that there will be scattered showers (with weak thunder and lightning) in Beijing on the 26th, with a daily highest temperature of only 27°C, and at night, it will be cloudy with light to moderate rain (with weak thunder and lightning), with a nighttime lowest temperature of 23°C.",-3.1
"In the previous 24 to 25 days, the whole city of Beijing was in the blue warning of high temperature. The daily maximum temperature in most areas was around 37 ℃, and the local high temperature exceeded 40 ℃.","On the previous 24th to 25th, Beijing was in the blue warning of high temperature, and the daily highest temperature was about 37°C in most areas, and even above 40°C in local areas.",-2
"It is the hottest, humid, and sultry day of the year. There are "" three volts "" in a year, and the hottest is in the middle. It is at this time that the Chinese people say "" bitter summer. ""","Dog days are the hottest days of the year when it is the hottest, humid and sultry, there are ""three phases of dog days"" in a year, and the hottest days are in the second phase, when “loss of appetite and weight in summer” that Chinese people say happens.",-8.1
"When entering the barn, every family fills the barn, and there is a folk saying that "" one dumpling and two noodles. ""","When dog days come, all families fill their barns, and a folk saying goes like that “dumplings for the first phase and noodles for the second phase of dog days”.",-5.1
"According to the current forecast, it will be cloudy and rainy in Beijing in the next three days.","According to the current forecast, Beijing will be cloudy and rainy in the next three days.",0
The meteorological department reminds the public to minimize mountain trips and beware of geological disasters.,The meteorological department advised the public to minimize mountain excursions and beware of geological hazards.,-5
"It is understood that this year's "" Zhongfu "" has 20 days, starting on July 26 and ending on August 14.","It’s learnt that “the second phase of dog days” this year includes 20 days, from July 26 to August 14.",0
"After entering the "" middle volt"" , people will feel weak and lose appetite.","After entering ""the second phase of dog days"", people will feel weak and lose their appetite.",-10
"In the diet, you can choose mung beans, coix nuts and other foods that have the effects of clearing heat and relieving heat, invigorating the spleen and appetizing, as well as bitter foods such as bitter vegetables and bitter gourd, which can help increase appetite and dispel heat.","People may choose mung beans, Job’s tears, and other foods with the functions of clearing away summerheat, tonifying spleen and stimulating appetite, as well as common sowthistle herb, bitter gourd and other bitter food, which can help to improve appetite and get rid of the summer heat.",-13
""" Ding Dong Online! Hello Teacher "" will be online next week, led by Xue Zhaofeng as "" Knowledge Sponsor-Xinhuanet","The “Ding Dong is online! ‘Hello Teacher’” will go online next week, and Xue Zhaofeng leads “Knowledge promoter” - www.xinhuanet.com",-11.2
There are new variety shows online.,New variety shows are online again.,-1
"The interactive knowledge sharing program "" Ding Dong Online! Hello Teacher "" will be broadcast on Hunan Satellite TV from July 20.",Interactive knowledge sharing program “Ding Dong is online! ‘Hello Teacher’” will be broadcast on Hunan Satellite TV from July 20.,-5
"It is understood that the program will create a brand-new youth classroom for all ages, and a group of handsome and talented teachers will fight to challenge the output of interesting knowledge.","It is understood that the program will create a brand-new youth class for all ages, and a group of beautiful and talented teachers will go into battle to challenge the output of interesting knowledge.",-5
"Different from the serious impression of teachers in the public mind in the past, "" Ding Dong Online! Good Teacher "" gathers a group of knowledge representatives with both beauty and talent.","Different from the serious impression of teachers in the hearts of the public in the past, the “Ding Dong is online! ‘Hello Teacher’” gathers a group of knowledge representatives with both beauty and talent.",-1
"They are not only young knowledge role models from various disciplines, but also a group of all-round "" Duan Zi hands "" who can shake their burdens and are good at entertaining and entertaining.","They are not only young knowledge models from various disciplines, but also a group of all-round “punsters” who can shake their burdens and are good at entertaining.",-5
"In the program, this group of outstanding young knowledge role models, as "" knowledge sharing officers"" , will challenge interesting knowledge classes.","In the program, these outstanding young knowledge role models, as “knowledge sharing officers”, will challenge the interesting knowledge class.",0
They need to show the most interesting side of their subject through knowledge output with attitude to impress the audience present.,"They need to show the most interesting aspects of their disciplines through knowledge output with attitude, so as to impress the audiences present.",0
"The "" Youdao Ask Group "" composed of audiences of all ages will ask ever-changing questions on the spot, making it more difficult to teach the "" Knowledge Sharing Officer "" and adding a little exciting atmosphere to the program.","On the spot, the “Youdao Ask Group”, which is composed of audiences of all ages, will put forward ever-changing questions, which will make it more difficult for the “knowledge sharing officers” to teach and add some exciting atmosphere to the program.",-11.2
"It is revealed that among the "" knowledge sharing officers "" are outstanding young teachers such as Li Yongle, a physics teacher in a middle school affiliated to Renmin University of China, Zhang Xuefeng, a famous postgraduate entrance examination instructor, and Wang Lei, a history teacher with ten years of experience. They will show the audience the "" hard core "" knowledge of various disciplines in unexpected ways.","According to reports, among the “knowledge sharing officers”, there are outstanding young teachers such as Li Yongle, a physics teacher from the High School Affiliated to Renmin University of China, Zhang Xuefeng, a famous teacher for postgraduate entrance examination, and Wang Lei, a history teacher with ten years’ experience, and they will show the audiences the “hard core” knowledge of various disciplines in unexpected ways.",-0.1
"In addition, the program also invited economics professor Xue Zhaofeng as the "" knowledge initiator "" of the program, and joined forces with "" Dingdong assistants "" Du Haitao and Jin Mengjia to talk about youth with the audience and create a "" national youth open class. ""","In addition, Xue Zhaofeng, a professor of economics, was invited as the “knowledge initiator” of the program to talk with the audience about youth and create an “open class for youth for all” together with Du Haitao and Jin Mengjia, “Ding Dong Teaching Assistants”.",-0.1
Chief Secretary for Administration of the HKSAR Government: All-out efforts to combat epidemic at critical juncture - chinanews.com,Chief Secretary for Administration of the Government of the Hong Kong Special Administrative Region: The situation is grim and fight against the COVID-19 epidemic - www.chinanews.com,-5
"Xinhua News Agency, Hong Kong, July 26 - Chief Secretary for Administration of the HKSAR Government, Matthew Cheung Kin-chung, said on July 26 that the COVID-19 epidemic in Hong Kong has remained severe. Should the situation change for the worse, the HKSAR Government will not hesitate but take tougher measures to further restrict the operation of premises and outdoor activities.","Xinhua News Agency, Hong Kong, July 26 - Zhang Jianzong, Chief Secretary for Administration of the Government of Hong Kong Special Administrative Region, said on the 26th that the COVID-19 epidemic in Hong Kong continued to be grim, and if the COVID-19 epidemic worsened, the SAR Government would decisively take more stringent control measures to further restrict the operations of business premises and reduce the space for citizens to go out.",-20
"However, the Government has no intention of imposing a lockdown or issuing stay-at-home orders as a containment measure at this stage.","However, at this stage, the SAR Government had no intention of introducing a ""stay-at-home order"" or a ""shelter-in-place order"" to restrict citizens from going out.",-10
"On the same day, Matthew Cheung Kin-chung released a blog entitled ""All-out efforts to combat epidemic at critical juncture""","On the same day, Zhang Jianzong published a blog titled ""Severe Situation, Fight Against the COVID-19 Epidemic"".",0
He said that the current wave of the outbreak is the most serious one over the past six months. The coming fortnight will be crucial in our fight against further spreading of the coronavirus in the community.,"He said that this epidemic was the most severe in the past six months, and it would be crucial in the next two weeks, so we should try our best to prevent the COVID-19 from spreading further in the community.",-10
"While the Government will take all necessary measures in this battle, it is equally important for the public to exercise self-discipline and co-operate.","In addition to the necessary measures taken by the SAR Government, self-discipline and co-operation of the citizens were also very important.",-10
"He earnestly urged members of the public to stay home as far as possible, minimise social contacts and refrain from dining out.",He appealed to the citizens to stay at home as much as possible and reduce social contact and dining out.,-5
